nrc,sigla,seccion,nombre,profesor,horario,escuela,semestre
28672,VRA1323,13,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28673,VRA1323,14,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28674,VRA1323,15,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28675,VRA1323,16,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
14928,VRA3000,1,Convenio Postgrado Puc-U Chile,(Sin Profesores),: CLAS SIN SALA,Actividades Universitarias,2026-1
25704,VRA4000,1,Integridad Académica en la Uc,Dirección Docente,: CLAS SIN SALA,Actividades Universitarias,2026-1
27206,VRA4000,2,Integridad Académica en la Uc,Dirección Docente,: CLAS SIN SALA,Actividades Universitarias,2026-1
27208,VRA4000,3,Integridad Académica en la Uc,Dirección Docente,: CLAS SIN SALA,Actividades Universitarias,2026-1
27209,VRA4000,4,Integridad Académica en la Uc,Dirección Docente,: CLAS SIN SALA,Actividades Universitarias,2026-1
27210,VRA4000,5,Integridad Académica en la Uc,Dirección Docente,:8 CLAS SIN SALA,Actividades Universitarias,2026-1
27839,VRA4000,6,Integridad Académica en la Uc,Dirección Docente,: CLAS SIN SALA,Actividades Universitarias,2026-1
27840,VRA4000,7,Integridad Académica en la Uc,Dirección Docente,: CLAS SIN SALA,Actividades Universitarias,2026-1
27841,VRA4000,8,Integridad Académica en la Uc,Dirección Docente,: CLAS SIN SALA,Actividades Universitarias,2026-1
27842,VRA4000,9,Integridad Académica en la Uc,Dirección Docente,: CLAS SIN SALA,Actividades Universitarias,2026-1
27843,VRA4000,10,Integridad Académica en la Uc,Dirección Docente,: CLAS SIN SALA,Actividades Universitarias,2026-1
31061,VRA5000,1,Integridad en el Ámbito Académico y en la Investigación,Dirección Docente,: CLAS SIN SALA,Actividades Universitarias,2026-1
10152,AGC204,1,Mecanizacion,Lorca Guillermo,"V:4,5,6,7 CLAS AP003",Agronomía y Sistemas Naturales,2026-1
19494,AGC206,2,Producción de Cultivos,"Jacob Cristian, Contreras Samuel, González Nicolás, Schwember Andres","M-J:3 CLAS AE202 M:4,5,6 AYU AG2",Agronomía y Sistemas Naturales,2026-1
10165,AGC206,4,Producción de Cultivos,"Jacob Cristian, Contreras Samuel, González Nicolás, Schwember Andres","M-J:3 CLAS AE202 J:4,5,6 AYU AG6",Agronomía y Sistemas Naturales,2026-1
29824,AGC209,1,Comprendiendo la Agricultura y Sus Desafíos,Ahumada Maria,"L:3,4 CLAS AG1",Agronomía y Sistemas Naturales,2026-1
10169,AGC220,1,Flora Nativa,"Gomez Miguel, Hernández Jesús, Montenegro Gloria","M:4,5,6 CLAS AG4",Agronomía y Sistemas Naturales,2026-1
26480,AGC250,1,Manejo de Céspedes,Acuna Alejandra,"W:4,5,6 CLAS TMP103",Agronomía y Sistemas Naturales,2026-1
10173,AGC261,1,Material Vegetal y Diseño de Parques y Jardines,"Vargas Maria, Allamand Nicolas","V:3,4 CLAS AP004 V:5,6 AYU AG1",Agronomía y Sistemas Naturales,2026-1
25208,AGC262,1,Manejo del Paisaje,Vargas Maria,M-J:2 CLAS AP004,Agronomía y Sistemas Naturales,2026-1
10178,AGC3002,1,Viticultura Avanzada,Perez Alonso,"V:4,5,6 CLAS SIN SALA",Agronomía y Sistemas Naturales,2026-1
19467,AGC310,1,Sistemas Intensivos de Producción Vegetal,"Steinfort Ursula, Vilches Inés","L:3,4,5,6 CLAS C405 W:3 CLAS AG1",Agronomía y Sistemas Naturales,2026-1
19468,AGC312,1,Biología y Producción de Semillas,Contreras Samuel,"L-W:2 CLAS AP003 W:4,5,6 AYU AG1",Agronomía y Sistemas Naturales,2026-1
33641,AGC313,1,Principios de Mejoramiento Genético,Schwember Andres,"M-J:1 CLAS FT-105 M:4,5,6 AYU K304",Agronomía y Sistemas Naturales,2026-1
21431,AGC317,1,Biología y Manejo de Malezas,"Figueroa Rodrigo, Cordovez Gabriela","M:3 CLAS AG1 J:3,4,5,6 CLAS TMP104",Agronomía y Sistemas Naturales,2026-1
23640,AGC319,1,Diseño y Manejo del Riego para Cultivos,Barrera Cristian,"L-W:1 CLAS TMP104 L:4,5,6 AYU TMP104",Agronomía y Sistemas Naturales,2026-1
21430,AGC322,1,Ciencia de Plaguicidas e Interacciones Ambientales,Schwantes Daniel,"V:1,2,3 CLAS AP502",Agronomía y Sistemas Naturales,2026-1
25944,AGC3610,1,Virología Vegetal,Rosales Ines,"W:4,5,6 CLAS CV",Agronomía y Sistemas Naturales,2026-1
28044,AGC3662,1,Fundamentos de Fertilidad de Suelos y Nutrición,Bonomelli Claudia,"M:4,5,6 CLAS SIN SALA",Agronomía y Sistemas Naturales,2026-1
10194,AGC3666,1,Fisiología de Plantas Frutales,"Perez Alonso, Alcalde Jose, Ayala Chita","J:3 TAL SIN SALA J:5,6,7 CLAS SIN SALA",Agronomía y Sistemas Naturales,2026-1
10197,AGC3667,1,Relacion Suelo-Planta-Agua,Perez Alonso,"W:4,5,6 CLAS SIN SALA J:4 CLAS SIN SALA",Agronomía y Sistemas Naturales,2026-1
33200,AGC3672,1,Cultivo de Tejidos Vegetales,Gebauer Marlene,"L:4,5,6,7 CLAS CV",Agronomía y Sistemas Naturales,2026-1
10201,AGC3779,1,Fisiología de Plantas Cultivadas,"Perez Alonso, Alcalde Jose, Ayala Chita","J:3 CLAS AG7 J:5,6,7 CLAS K305",Agronomía y Sistemas Naturales,2026-1
25939,AGC3783,1,Anatomía Vegetal Aplicada,Gomez Miguel,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
25937,AGC3800,1,Tesis I,"Zaviezo Tania, Dirección Docente",: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
25938,AGC3801,1,Tesis II,"Zaviezo Tania, Dirección Docente",: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
20182,AGE206,1,Introducción a la Economía Ambiental y de los Recursos Naturales,Arriagada Rodrigo,M-J:2 CLAS AG1 W:6 AYU AG2,Agronomía y Sistemas Naturales,2026-1
17413,AGE207,1,Economía Agraria y Ambiental,Perez Rodrigo,"L:3 CLAS AP002 W:3,4 CLAS AP002",Agronomía y Sistemas Naturales,2026-1
25226,AGE207,3,Economía Agraria y Ambiental,Foster William,L-W:2 CLAS AL4 V:2 AYU AL2,Agronomía y Sistemas Naturales,2026-1
17813,AGE259,1,Comercialización Internacional de Fruta Fresca,Allamand Miguel,"J:5,6 CLAS AP201",Agronomía y Sistemas Naturales,2026-1
19471,AGE308,1,Comercialización Agropecuaria,Werneck Marcelo,M-J:3 CLAS AP603 V:4 CLAS S15,Agronomía y Sistemas Naturales,2026-1
19473,AGE312,1,Políticas Agrarias,Vargas Gonzalo,"M:4,5,6 CLAS AG1",Agronomía y Sistemas Naturales,2026-1
21436,AGE315,1,Gestión de Operaciones,Taha Esteban,"W:4,5 CLAS AG2 V:3 AYU AG6",Agronomía y Sistemas Naturales,2026-1
21437,AGE317,1,Análisis de Decisiones,Perez Rodrigo,L-W:2 CLAS AP002 V:3 AYU AG7,Agronomía y Sistemas Naturales,2026-1
31633,AGE321,1,Transformación Digital en el Agronegocio,Werneck Marcelo,M-J:2 CLAS AP603 V:2 AYU AP402,Agronomía y Sistemas Naturales,2026-1
33632,AGE336,1,Contexto Macroeconómico para la Agricultura,"Foster William, Por Fijar",M-J:3 CLAS TMP101 V:4 AYU S14,Agronomía y Sistemas Naturales,2026-1
33729,AGE338,1,Manejo de Datos y Análisis Multivariado,Anriquez Gustavo,L-W:3 CLAS AP101 V:5 AYU J2,Agronomía y Sistemas Naturales,2026-1
24880,AGE3666,1,Entorno Legal y Tributario de la Actividad Silvoagropecuaria,Subercaseaux Juan,L-J:3 CLAS SIN SALA V:4 CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
10243,AGE3792,1,Politicas Agrarias,Vargas Gonzalo,"M:4,5,6 CLAS AG1",Agronomía y Sistemas Naturales,2026-1
31001,AGE3796,1,Desarrollo Económico de la Agricultura,Anriquez Gustavo,M-J:3 CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
20216,AGE3801,1,Economía del Agua,Donoso Guillermo,M-J:1 CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
33879,AGE3803,1,Sustentabilidad Corporativa en el Sector Agroalimentario,Aguirre Camila,"J:4,5,6 CLAS SIN SALA",Agronomía y Sistemas Naturales,2026-1
23742,AGE3810,1,Métodos Matemáticos para Microeconomía Aplicada,Donoso Guillermo,M-J:7 CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
23738,AGE3811,1,Fundamentos de la Economía Agraria y Ambiental,Melo Oscar,L-W:4 CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
23739,AGE3812,1,Seminario de Economía Agraria y Ambiental I,Melo Oscar,W:5 CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
33438,AGE3813,1,Seminario de Economía Agraria y Ambiental II,Melo Oscar,W:5 CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
24872,AGE3814,1,Seminario de Economía Agraria y Ambiental III,Melo Oscar,W:5 CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
25123,AGE3815,1,Análisis Microeconómico II,Melo Oscar,L-W:6 CLAS SIN SALA V:2 CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
24875,AGE3817,1,Tesis,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
10293,AGF201,1,Fruticultura,"Martiz Johanna, Ayala Chita, Valenzuela Andrés","L:4,5,6 AYU AP001 M-J:2 CLAS AE102",Agronomía y Sistemas Naturales,2026-1
21877,AGF201,2,Fruticultura,"Martiz Johanna, Ayala Chita, Valenzuela Andrés","M-J:2 CLAS AE102 M:4,5,6 AYU TMP103",Agronomía y Sistemas Naturales,2026-1
26486,AGF201,3,Fruticultura,"Martiz Johanna, Ayala Chita, Valenzuela Andrés","M-J:2 CLAS AE102 W:4,5,6 AYU TMP102",Agronomía y Sistemas Naturales,2026-1
29670,AGF203,1,Frutales Menores,Gambardella Marina,"L:3 CLAS AG4 W:3,4 CLAS AG5 W:5,6,7 AYU AG5",Agronomía y Sistemas Naturales,2026-1
21519,AGF321,1,Agricultura Orgánica,"Zaviezo Tania, Bonomelli Claudia, Chorbadjian Rodrigo, Figueroa Rodrigo, Godoy Liliana, Valdes Hector","L-W:2 CLAS AP604 M:4,5,6,7 AYU TMP104",Agronomía y Sistemas Naturales,2026-1
25209,AGF326,1,Vinificación,"Brossard Natalia, Bordeu Edmundo","L-W:2 CLAS AP501 L:4,5,6 LAB SIN SALA",Agronomía y Sistemas Naturales,2026-1
19478,AGF328,1,Frutales de Hoja Persistente,Martiz Johanna,"M:3,4 CLAS AL4 M:5,6 AYU AL4 J:3 CLAS N8",Agronomía y Sistemas Naturales,2026-1
21432,AGF329,1,Poscosecha de Frutas,Zoffoli Juan,"L-W:2 CLAS AG6 L:4,5,6 AYU AG5",Agronomía y Sistemas Naturales,2026-1
21442,AGF331,1,Química y Microbiología del Vino,Godoy Liliana,"M-J:1 CLAS AG7 W:4,5,6 LAB SIN SALA",Agronomía y Sistemas Naturales,2026-1
19481,AGF335,1,Cervecería y Otras Bebidas Fermentadas,Alcalde Jose,"J:3 CLAS S20 V:4,5,6 CLAS AP002",Agronomía y Sistemas Naturales,2026-1
33642,AGF337,1,Entomología Frutal,Zaviezo Tania,L-W:3 CLAS AP604 M-J:2 AYU AP602,Agronomía y Sistemas Naturales,2026-1
19482,AGF338,1,Taller de Fermentaciones,"Ceppi  de  Lecco Juana, Galaz Cristian","M-J:4,5,6 CLAS TMP101",Agronomía y Sistemas Naturales,2026-1
14651,AGL030,1,Taller de Sistemas Agrícolas y Forestales I,"Acuna Alejandra, Reveco Samantha","M:3 TAL K301 V:3 CLAS C003 V:4,5,6 AYU AP604",Agronomía y Sistemas Naturales,2026-1
14654,AGL030,2,Taller de Sistemas Agrícolas y Forestales I,"Hernández Jesús, Reveco Samantha","M:3 TAL K305 V:3 CLAS C003 V:4,5,6 AYU AP402",Agronomía y Sistemas Naturales,2026-1
14655,AGL030,3,Taller de Sistemas Agrícolas y Forestales I,"Arriagada Ignacio, Reveco Samantha","M:3 TAL K307 V:3 CLAS C003 V:4,5,6 AYU AP201",Agronomía y Sistemas Naturales,2026-1
14656,AGL030,4,Taller de Sistemas Agrícolas y Forestales I,"Zúñiga Oscar, Reveco Samantha","J:3 TAL C505 V:3 CLAS C003 V:4,5,6 AYU AP503",Agronomía y Sistemas Naturales,2026-1
14649,AGL030,5,Taller de Sistemas Agrícolas y Forestales I,Reveco Samantha,"J:3 TAL K303 V:3 CLAS C003 V:4,5,6 AYU AP603",Agronomía y Sistemas Naturales,2026-1
29858,AGL030,6,Taller de Sistemas Agrícolas y Forestales I,"Rojas Isabel, Ovando Josefina","J:3 TAL K307 V:3,4 CLAS C304 V:5,6 AYU AP102",Agronomía y Sistemas Naturales,2026-1
17833,AGL060,1,Taller 3,Meneses Claudio,"W:4,5,6 CLAS AG7",Agronomía y Sistemas Naturales,2026-1
21718,AGL060,2,Taller 3,Cordovez Gabriela,"V:1,2,3 CLAS ED216",Agronomía y Sistemas Naturales,2026-1
29557,AGL060,3,Taller 3,Abarca Romina,"W:4,5,6 CLAS K305",Agronomía y Sistemas Naturales,2026-1
23016,AGL070,1,Taller 4,"Mejias Luis, Alcalde Jose","V:1,2 CLAS TMP104",Agronomía y Sistemas Naturales,2026-1
26494,AGL070,2,Taller 4,"Mejias Luis, Alcalde Jose","V:3,4 CLAS TMP101",Agronomía y Sistemas Naturales,2026-1
31556,AGL070,3,Taller 4,Barriga Claudia,"W:1,2 CLAS AG7",Agronomía y Sistemas Naturales,2026-1
34090,AGL070,4,Taller 4,Barriga Claudia,"V:1,2 CLAS AG7",Agronomía y Sistemas Naturales,2026-1
21723,AGL090,1,Taller 5,Valdés María,V:1 CLAS AP003,Agronomía y Sistemas Naturales,2026-1
25580,AGL090,2,Taller 5,Vidal Nicolas,V:1 CLAS AP002,Agronomía y Sistemas Naturales,2026-1
27327,AGL090,3,Taller 5,Matte Francisco,V:1 CLAS AP004,Agronomía y Sistemas Naturales,2026-1
31614,AGL090,4,Taller 5,Donoso Ivan,V:1 CLAS AP007,Agronomía y Sistemas Naturales,2026-1
33930,AGL090,5,Taller 5,Biggs Jaime,V:1 TAL AP008,Agronomía y Sistemas Naturales,2026-1
33931,AGL090,6,Taller 5,Ramos Maria,V:1 TAL AP005,Agronomía y Sistemas Naturales,2026-1
33932,AGL090,7,Taller 5,Echenique Marcia,V:1 TAL AP006,Agronomía y Sistemas Naturales,2026-1
10396,AGL100,1,Practica de Verano 1,Reveco Samantha,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
10409,AGL101,1,Botanica,"Gomez Miguel, Cordovez Gabriela, Montenegro Gloria","W:3,4 LAB SIN SALA W:5,6 CLAS AM1",Agronomía y Sistemas Naturales,2026-1
14658,AGL110,1,Suelos y Fertilidad,"Bonomelli Claudia, Acuña Edouard, Reveco Samantha","L-W:3,4 CLAS K202 L:5,6 AYU AG4",Agronomía y Sistemas Naturales,2026-1
14660,AGL110,2,Suelos y Fertilidad,"Bonomelli Claudia, Acuña Edouard, Reveco Samantha","L-W:3,4 CLAS K202 W:5,6 AYU AG3",Agronomía y Sistemas Naturales,2026-1
14664,AGL111,1,Agua y Riego,"Gil Pilar, Barrera Cristian, Tobar Sophia","L-W:3 CLAS A5 L:4,5,6 AYU AP002",Agronomía y Sistemas Naturales,2026-1
26483,AGL111,2,Agua y Riego,"Barrera Cristian, Gil Pilar, Tobar Sophia","L-W:3 CLAS A5 M:4,5,6 AYU F201",Agronomía y Sistemas Naturales,2026-1
14668,AGL111,3,Agua y Riego,"Barrera Cristian, Gil Pilar, Tobar Sophia","L-W:3 CLAS A5 W:4,5,6 AYU TMP105",Agronomía y Sistemas Naturales,2026-1
10417,AGL112,1,Climatologia,Raab Nicolas,"M:3,4 CLAS AE102 M:5,6 AYU AG5",Agronomía y Sistemas Naturales,2026-1
18198,AGL112,2,Climatologia,Raab Nicolas,"M:3,4 CLAS AE102 J:5,6 AYU AG5",Agronomía y Sistemas Naturales,2026-1
21711,AGL150,1,Practica de Licenciatura,Reveco Samantha,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
10424,AGL200,1,Práctica de Verano II,Reveco Samantha,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
33576,AGL200,2,Práctica de Verano II,Pena Ivan,: CLAS,Agronomía y Sistemas Naturales,2026-1
10434,AGL201,1,Estadistica,Morales David,L-W:1 CLAS AG1 M-J:2 AYU AG5,Agronomía y Sistemas Naturales,2026-1
33579,AGL201,2,Estadistica,Morales David,L-W:2 AYU AG5 M-J:1 CLAS AG1,Agronomía y Sistemas Naturales,2026-1
29604,AGL201,3,Estadistica,Cerda José,"L:3,4 CLAS AG2 V:3,4 AYU AG2",Agronomía y Sistemas Naturales,2026-1
10456,AGL203,2,Genetica y Biotecnologia,Gambardella Marina,"M-J:2 CLAS AP001 M:5,6 AYU AP503",Agronomía y Sistemas Naturales,2026-1
10448,AGL203,5,Genetica y Biotecnologia,Gebauer Marlene,"M-J:3 CLAS AG4 V:4,5,6 AYU AG4",Agronomía y Sistemas Naturales,2026-1
17409,AGL204,1,"Principios de Procesamiento, Calidad e Inocuidad de Alimentos","Brossard Natalia, Abarca Romina, Zoffoli Juan, Zúñiga Oscar","L-W:1 CLAS AE203 L:4,5,6 AYU AG3",Agronomía y Sistemas Naturales,2026-1
19493,AGL204,2,"Principios de Procesamiento, Calidad e Inocuidad de Alimentos","Brossard Natalia, Abarca Romina, Zoffoli Juan, Zúñiga Oscar","L-W:1 CLAS AE203 M:4,5,6 AYU AG3",Agronomía y Sistemas Naturales,2026-1
14670,AGL211,1,Proteccion de Plantas,"Ahumada Maria, Chorbadjian Rodrigo, Cordovez Gabriela, Rosales Ines",L-W:2 CLAS AE203 V:1 LAB SIN SALA,Agronomía y Sistemas Naturales,2026-1
14674,AGL211,2,Proteccion de Plantas,"Ahumada Maria, Chorbadjian Rodrigo, Cordovez Gabriela, Rosales Ines",L-W:2 CLAS AE203 V:2 LAB SIN SALA,Agronomía y Sistemas Naturales,2026-1
14672,AGL211,3,Proteccion de Plantas,"Ahumada Maria, Chorbadjian Rodrigo, Cordovez Gabriela, Rosales Ines",L-W:2 CLAS AE203 V:3 LAB SIN SALA,Agronomía y Sistemas Naturales,2026-1
17826,AGL221,3,Produccion Animal,"Reveco María, Larrain Rafael, Petrovich Francisca","M-J:1 CLAS AE102 W:4,5,6 AYU AL2",Agronomía y Sistemas Naturales,2026-1
17824,AGL221,4,Produccion Animal,"Reveco María, Larrain Rafael, Petrovich Francisca","M-J:1 CLAS AE102 J:4,5,6 AYU AG2",Agronomía y Sistemas Naturales,2026-1
19710,AGL232,1,Administración de Sistemas Agrícolas y Forestales,Vargas Gonzalo,M-J:1 CLAS AG6 V:2 AYU AG3,Agronomía y Sistemas Naturales,2026-1
21831,AGL232,2,Administración de Sistemas Agrícolas y Forestales,Olivares Claudio,M-J:2 CLAS K202 V:3 AYU AG4,Agronomía y Sistemas Naturales,2026-1
19715,AGL233,1,Formulación y Evaluación de Proyectos,Valdés María,M-J:1 CLAS AG4 V:2 AYU AG5,Agronomía y Sistemas Naturales,2026-1
21509,AGL233,2,Formulación y Evaluación de Proyectos,Taha Esteban,L-W:1 CLAS AG5 V:4 AYU AG3,Agronomía y Sistemas Naturales,2026-1
28091,AGL253,1,Apicultura Sustentable,"Nunez Gabriel, Gomez Miguel, Montenegro Gloria","J:4,5 CLAS AG4",Agronomía y Sistemas Naturales,2026-1
28092,AGL255,1,Excel para la Vida Profesional,Leon Juan,"M:5,6 TAL SIN SALA J:5 CLAS SIN SALA",Agronomía y Sistemas Naturales,2026-1
21885,AGL270,1,Comercio Exterior Silvoagropecuario,Olivares Claudio,"W:4,5,6 CLAS TMP104",Agronomía y Sistemas Naturales,2026-1
10523,AGL280,1,Aplicaciones Estadisticas,"Morales David, Foster William, Schwantes Daniel","M-J:1 CLAS N18 V:4,5 CLAS N13-B",Agronomía y Sistemas Naturales,2026-1
17830,AGL280,2,Aplicaciones Estadisticas,"Morales David, Por Fijar, Raab Nicolas","L-W:1 CLAS N15 V:3,4 CLAS N16-B",Agronomía y Sistemas Naturales,2026-1
28201,AGL281,1,Huertos Urbanos y Comunitarios,"Fuentes Francisco, Rojas Claudia","M:4,5,6 TER SIN SALA",Agronomía y Sistemas Naturales,2026-1
29859,AGL309,1,Tecnologías Agropecuarias Emergentes y Agricultura Digital,Norero Yordi,"W:4,5,6,7 CLAS TMP101",Agronomía y Sistemas Naturales,2026-1
21715,AGL380,1,Residencia Profesional,Dirección Docente,: SUP SIN SALA,Agronomía y Sistemas Naturales,2026-1
31636,AGL381,1,Pasantía Profesional,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
21508,AGL400,1,Examen de Certificación de Licenciatura,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
21815,AGL400,2,Examen de Certificación de Licenciatura,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
10570,AGM3000,1,Evaluación de Proyectos Agroalimentarios,"Taha Esteban, Gonzalez Raul",L-W-J:2 CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
10575,AGM3001,1,Taller de Negociación y Habilidades Gerenciales,Subercaseaux Juan,"M:2,3 CLAS SIN SALA",Agronomía y Sistemas Naturales,2026-1
10581,AGM3002,1,Taller de Comercio Internacional,Olivares Claudio,"L:4,5 CLAS SIN SALA",Agronomía y Sistemas Naturales,2026-1
10585,AGM3003,1,Proyecto Final de Graduación,Subercaseaux Juan,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
33878,AGM3008,1,Gestión Financiera en Empresas Agroindustriales,Valdés María,"W:3,4 CLAS SIN SALA V:4 CLAS SIN SALA",Agronomía y Sistemas Naturales,2026-1
10673,AGP3132,1,Econometria,Foster William,L-W:3 CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
10679,AGP3134,1,Estudio Dirigido I,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
10683,AGP3135,1,Estudio Dirigido II,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
10686,AGP3136,1,Taller de Métodos de Investigación,"Valdes Hector, Renwick Leah",M:1 CLAS AUD-POSG,Agronomía y Sistemas Naturales,2026-1
15794,AGP3138,1,Métodos Estadísticos en Recursos Naturales,"Gilabert Horacio, Morales David","L:5,6,7 CLAS AP401",Agronomía y Sistemas Naturales,2026-1
10697,AGP4000,1,Estudio Dirigido,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
10714,AGP4011,1,Tesis de Doctorado I,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
18764,AGP4012,1,Tesis de Doctorado II,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
10721,AGP4013,1,Tesis de Doctorado III,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
10728,AGP4014,1,Tesis de Doctorado IV,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
15801,AGP4018,1,Actividad Anual de Seguimiento I,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
18786,AGP4019,1,Actividad Anual de Seguimiento II,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
18787,AGP4020,1,Autoría Artículo Científico o Patente,Dirección Docente,: CLAS SIN SALA,Agronomía y Sistemas Naturales,2026-1
